categorie1,categorie2,categorie3,href
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un passeport diplomatique au Ministère des Affaires Etrangères,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/828/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un certificat de déménagement pour les Sénégalais établis à l’étranger,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/826/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander l’établissement de sauf-conduit pour un ressortissant sénégalais résidant à l’étranger,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/686/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander l’établissement de passeport ordinaire pour un ressortissant sénégalais résidant à l’étranger,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/684/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,"Demander la transcription d’un acte d’état civil (acte de naissance, acte de mariage, acte de décès) auprès des services consulaires",https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/683/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander l’immatriculation consulaire des Sénégalais résidant à l’étranger,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/682/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander une avance pèlerinage pour les agents de l'Etat,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/617/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Payer la caution de rapatriement,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/533/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,S'acquitter du paiement de la quittance correspondant au timbre du passeport,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/504/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Accomplir les formalités du pèlerinage à la Mecque,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/472/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un regroupement familial,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/471/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un extrait de bulletin n° 3 du casier judiciaire spécial pour un sénégalais né à l'étranger,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/464/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un visa d'entrée en Allemagne,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/439/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un visa d'entrée au Canada,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/437/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un visa d'entrée aux Etats-Unis,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/434/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un visa d'entrée en France,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/433/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Renoncer à la nationalité sénégalaise,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/337/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un permis de conduire international,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/139/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un carnet de vaccination international,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/116/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un passeport de réfugié,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/86/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander un sauf-conduit étranger,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/73/2/88
"Citoyenneté, justice et sécurité",Voyages et séjours à l'étranger,Demander une autorisation de sortie du territoire national pour un enseignant,https://web.archive.org/web/20201021151932/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/65/2/88
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",S'inscrire au registre des Français établis au Sénégal,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/432/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",S'inscrire au registre des Français établis au Sénégal,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/432/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander un extrait du bulletin n° 3 du casier judiciaire pour les étrangers nés au Sénégal,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/383/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander la nationalité sénégalaise par voie de mariage,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/339/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander à acquérir la nationalité sénégalaise par décret  (naturalisation),https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/338/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander un passeport de réfugié,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/86/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander une carte de circulation,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/84/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander le remboursement d'une caution de rapatriement,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/125/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander la restitution du cautionnement de rapatriement,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1134/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Faire un cautionnement de rapatriement auprès de la Caisse de Dépôts et de Consignations (CDC),https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1133/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander l'autorisation de constituer une association étrangère,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/604/2/16
"Citoyenneté, justice et sécurité","Entrée, séjour et travail des étrangers",Demander un extrait du bulletin n° 3 du casier judiciaire spécial pour un étranger résidant au Sénégal et né à l'étranger,https://web.archive.org/web/20201021153510/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/460/2/16
"Citoyenneté, justice et sécurité",Service civique et service militaire,Demander un certificat de position militaire,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/171/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Faire son service militaire,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/133/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Devenir volontaire du Service civique national,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/3/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Devenir garde forestier,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1060/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,S'inscrire au concours d'élève gendarme féminin,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/467/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,S'inscrire au concours d'élève gendarme,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/466/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Comment faire une carrière militaire,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/444/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Demander une pension d'ascendant de militaire,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/179/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Demander une pension de retraite pour un militaire,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/173/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Demander un livret  individuel pour les anciens militaires,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/154/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Demander un livret  individuel pour les anciens militaires,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/154/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,Demander un état signalétique et des services (pour un militaire),https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/141/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,S'inscrire au concours d'entrée dans les grandes écoles militaires étrangères,https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/89/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,S'inscrire au concours d'entrée à l'Ecole nationale des sous-officiers d'active (ENSOA),https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/88/2/10
"Citoyenneté, justice et sécurité",Service civique et service militaire,S'inscrire au concours d'entrée à l'Ecole nationale des officiers d'active (ENOA),https://web.archive.org/web/20201021165829/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/78/2/10
"Citoyenneté, justice et sécurité","Volontariat, vacatariat, stage et bénévolat",Devenir volontaire de l'éducation,https://web.archive.org/web/20201021162903/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/68/2/30
"Citoyenneté, justice et sécurité","Volontariat, vacatariat, stage et bénévolat",Devenir vacataire de l'éducation,https://web.archive.org/web/20201021162903/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/34/2/30
"Citoyenneté, justice et sécurité","Volontariat, vacatariat, stage et bénévolat",Devenir vacataire de l'enseignement technique et de la formation professionnelle,https://web.archive.org/web/20201021162903/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/475/2/30
"Citoyenneté, justice et sécurité","Volontariat, vacatariat, stage et bénévolat",Devenir vacataire de l'enseignement technique et de la formation professionnelle,https://web.archive.org/web/20201021162903/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/475/2/30
"Citoyenneté, justice et sécurité","Volontariat, vacatariat, stage et bénévolat",Devenir vacataire de l'enseignement technique et de la formation professionnelle,https://web.archive.org/web/20201021162903/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/475/2/30
"Citoyenneté, justice et sécurité","Volontariat, vacatariat, stage et bénévolat",Devenir vacataire de l'enseignement technique et de la formation professionnelle,https://web.archive.org/web/20201021162903/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/475/2/30
"Citoyenneté, justice et sécurité",Droits de la femme,Demander l’exécution d’une décision allouant une pension alimentaire à une personne,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/645/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander l’exécution d’une décision ordonnant la main levée d’une décision qui avait alloué une pension alimentaire à une personne,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/644/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander une pension de veuve ou un capital décès pour les épouses de militaires décédés,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/463/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Contester une filiation maternelle,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/436/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander un certificat de divorce,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/429/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander une délégation de puissance paternelle,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/355/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander une indication en paternité,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/351/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Réclamer la filiation maternelle,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/349/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander un certificat médical d'accouchement,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/211/2/33
"Citoyenneté, justice et sécurité",Droits de la femme,Demander une pension de réversion au bénéfice de la veuve d'un militaire,https://web.archive.org/web/20201021154606/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/91/2/33
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Demander une autorisation de collecte et de stockage des batteries usagées,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1049/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,S’inscrire  à l’Ordre des docteurs vétérinaires du Sénégal,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1024/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Comment obtenir un certificat de salubrité pour importer des produits d’origine animale comme la viande et le lait,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/984/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Comment obtenir une autorisation d’importation de poussins reproducteurs,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/983/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Comment obtenir une autorisation d’importation d’œufs à couver,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/982/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,"Demander la désinfection, la désinsectisation et ou la dératisation de locaux ou domicile",https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/736/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Demander l’autorisation d’ouverture d’une alimentation générale,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/609/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Demander une attestation d'agrément pour les produits phytosanitaires,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/216/2/71
"Citoyenneté, justice et sécurité",Hygiène publique et sécurité alimentaire,Demander un certificat de salubrité,https://web.archive.org/web/20201021151639/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/114/2/71
"Citoyenneté, justice et sécurité",Armes et chasse,Demander l'autorisation d'achat d'arme et de munitions,https://web.archive.org/web/20201021162629/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/181/2/74
"Citoyenneté, justice et sécurité",Armes et chasse,Demander à bénéficier d'un permis de visite dans les parcs et réserves du Sénégal,https://web.archive.org/web/20201021162629/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1069/2/74
"Citoyenneté, justice et sécurité",Armes et chasse,Devenir un Guide de chasse,https://web.archive.org/web/20201021162629/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1064/2/74
"Citoyenneté, justice et sécurité",Armes et chasse,Demander à obtenir des droits d’amodiation,https://web.archive.org/web/20201021162629/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1062/2/74
"Citoyenneté, justice et sécurité",Armes et chasse,Obtenir un permis de chasse,https://web.archive.org/web/20201021162629/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1057/2/74
Culture et communication,"Arts, décorations et expositions",Bénéficier du soutien de la Ville de Dakar à l’initiative culturelle,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/855/21/243
Culture et communication,"Arts, décorations et expositions",Demander à participer aux manifestations des Convergences nationales des arts,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/817/21/243
Culture et communication,"Arts, décorations et expositions",Demander la mise à disposition d’un atelier résidence au village des arts,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/800/21/243
Culture et communication,"Arts, décorations et expositions",S’inscrire au concours d’entrée de l’école nationale des arts section professionnelle (pour les instituteurs),https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/734/21/243
Culture et communication,"Arts, décorations et expositions",S’inscrire au concours d’entrée de l’école nationale des arts pour les étrangers,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/732/21/243
Culture et communication,"Arts, décorations et expositions",S’inscrire comme auditeur libre à l’Ecole nationale des arts (E.N.A),https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/724/21/243
Culture et communication,"Arts, décorations et expositions",Demander à participer à la Biennale de l’Art africain contemporain Dak’Art,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/723/21/243
Culture et communication,"Arts, décorations et expositions",Demander la mise à disposition de matériel de « Son et Lumière »,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/721/21/243
Culture et communication,"Arts, décorations et expositions",Demander un stage au Service spectacle son et lumière,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/716/21/243
Culture et communication,"Arts, décorations et expositions",Demander une mise à disposition d’espaces d’exposition d’œuvres d’art à la Galerie nationale d’Art,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/715/21/243
Culture et communication,"Arts, décorations et expositions",Demander à organiser une manifestation dans un centre culturel régional (CCR),https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/710/21/243
Culture et communication,"Arts, décorations et expositions",Demander à bénéficier d’un financement du Fonds d’aide aux artistes et au développement de la culture,https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/709/21/243
Culture et communication,"Arts, décorations et expositions",Demander à participer au Festival national des arts et de la culture (FESNAC),https://web.archive.org/web/20201022115434/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/707/21/243
Culture et communication,"Livres, lecture et bibliothèques","S'inscrire en formation continue à  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/823/21/245
Culture et communication,"Livres, lecture et bibliothèques","S'inscrire en deuxième année de master professionnel à  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/822/21/245
Culture et communication,"Livres, lecture et bibliothèques","S'inscrire en première année de master professionnel à  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/821/21/245
Culture et communication,"Livres, lecture et bibliothèques","S'inscrire à la licence professionnelle de  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/820/21/245
Culture et communication,"Livres, lecture et bibliothèques","S'inscrire au concours d'entrée à l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/819/21/245
Culture et communication,"Livres, lecture et bibliothèques",Demander une dotation de livres de bibliothèque,https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/796/21/245
Culture et communication,"Livres, lecture et bibliothèques",Demander un appui financier à l’édition d’un livre,https://web.archive.org/web/20200930031345/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/706/21/245
Culture et communication,"Cinéma, audiovisuel et photographies","Demander à bénéficier d'un permis de prise de vue et de reportage  dans les aires protégées (parcs nationaux, réserves et aires marines protégées)",https://web.archive.org/web/20201024081929/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1068/21/247
Culture et communication,"Cinéma, audiovisuel et photographies",Bénéficier du soutien de la Ville de Dakar à l’initiative culturelle,https://web.archive.org/web/20201024081929/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/855/21/247
Culture et communication,"Cinéma, audiovisuel et photographies",Demander à participer à la Biennale de l’Art africain contemporain Dak’Art,https://web.archive.org/web/20201024081929/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/723/21/247
Culture et communication,"Cinéma, audiovisuel et photographies",Demander à organiser une manifestation dans un centre culturel régional (CCR),https://web.archive.org/web/20201024081929/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/710/21/247
Culture et communication,"Cinéma, audiovisuel et photographies",Demander à bénéficier d’un financement du Fonds d’aide aux artistes et au développement de la culture,https://web.archive.org/web/20201024081929/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/709/21/247
Culture et communication,"Cinéma, audiovisuel et photographies",Demander l’autorisation de tournage professionnel de films,https://web.archive.org/web/20201024081929/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/708/21/247
Culture et communication,"Théâtre, danse et musique",Bénéficier du soutien de la Ville de Dakar à l’initiative culturelle,https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/855/21/246
Culture et communication,"Théâtre, danse et musique",Demander la location de la salle de spectacle du Théâtre national Daniel Sorano,https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/729/21/246
Culture et communication,"Théâtre, danse et musique",Demander à participer à la Biennale de l’Art africain contemporain Dak’Art,https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/723/21/246
Culture et communication,"Théâtre, danse et musique","Demander un appui, un encadrement, un conseil de l’Orchestre national du Sénégal pour une production musicale",https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/713/21/246
Culture et communication,"Théâtre, danse et musique",Demander une prestation de service de l’Orchestre national du Sénégal,https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/711/21/246
Culture et communication,"Théâtre, danse et musique",Demander à organiser une manifestation dans un centre culturel régional (CCR),https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/710/21/246
Culture et communication,"Théâtre, danse et musique",Demander à organiser une manifestation dans un centre culturel régional (CCR),https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/710/21/246
Culture et communication,"Théâtre, danse et musique",Demander à organiser une manifestation dans un centre culturel régional (CCR),https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/710/21/246
Culture et communication,"Théâtre, danse et musique",Demander à organiser une manifestation dans un centre culturel régional (CCR),https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/710/21/246
Culture et communication,"Théâtre, danse et musique",Demander à bénéficier d’un financement du Fonds d’aide aux artistes et au développement de la culture,https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/709/21/246
Culture et communication,"Théâtre, danse et musique",Demander à participer au Festival national des arts et de la culture (FESNAC),https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/707/21/246
Culture et communication,"Théâtre, danse et musique",Demander à inscrire un enfant au centre aéré de la Maison de la culture Douta SECK (MCDS),https://web.archive.org/web/20201024094853/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/705/21/246
Culture et communication,"Musées, archéologie et archives","S'inscrire en formation continue à  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930033432/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/823/21/251
Culture et communication,"Musées, archéologie et archives","S'inscrire en deuxième année de master professionnel à  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930033432/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/822/21/251
Culture et communication,"Musées, archéologie et archives","S'inscrire en première année de master professionnel à  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930033432/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/821/21/251
Culture et communication,"Musées, archéologie et archives","S'inscrire à la licence professionnelle de  l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930033432/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/820/21/251
Culture et communication,"Musées, archéologie et archives","S'inscrire au concours d'entrée à l'Ecole de Bibliothécaires, Archivistes et Documentalistes (EBAD)",https://web.archive.org/web/20200930033432/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/819/21/251
Culture et communication,"Musées, archéologie et archives",Demander une visite officielle à la Maison des esclaves de Gorée,https://web.archive.org/web/20200930033432/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/801/21/251
